,market_volatility,avg_correlation,cross_sectional_dispersion,regime_score,label
2017-09-01,0.0053335083529316,0.2222262055882744,0.0103578668992768,-0.6882200313531436,0
2017-09-05,0.0054582590277191,0.2204775393687104,0.0105175631462748,-0.6756890896739403,0
2017-09-06,0.0053450495866099,0.2212009657694611,0.0101762464362086,-0.6985209822945277,0
2017-09-07,0.0053445606950035,0.2186496470908202,0.0102000921145538,-0.7025301891890019,0
2017-09-08,0.0053508684348321,0.2353654352262222,0.0099340677542802,-0.6814903921188034,0
2017-09-11,0.0056681333221832,0.2644131567140358,0.009843039005663,-0.606514465903187,0
2017-09-12,0.0056887559688532,0.2622810395559033,0.0098480855718404,-0.6092244192822144,0
2017-09-13,0.0056742377340271,0.267210458131928,0.0097900437224328,-0.6030824370410881,0
2017-09-14,0.0056786167434187,0.2681741696755552,0.0097692972621823,-0.6018741899865782,0
2017-09-15,0.0056566105809458,0.2619192781193649,0.0098757703764861,-0.6106902642016332,0
2017-09-18,0.0056742856657125,0.2578011128972776,0.0099936079872442,-0.612027990999328,0
2017-09-19,0.0056944999291125,0.254379170728834,0.0100629299914837,-0.6141922002089578,0
2017-09-20,0.0056604784454308,0.2479026261736601,0.0102110845194371,-0.622180921481242,0
2017-09-21,0.005671772572977,0.2523173990951357,0.0100896649749244,-0.6185246513033242,0
2017-09-22,0.0049595991029847,0.2151704675464414,0.0099401043444171,-0.7476213148225473,0
2017-09-25,0.0050112716159336,0.2064908982196117,0.0101577298365558,-0.7510171095410318,0
2017-09-26,0.0047220541941466,0.191595281084977,0.0099955142142393,-0.8080798156468142,0
2017-09-27,0.0047387608386,0.1897863105356795,0.0100375015340244,-0.8085656093849554,0
2017-09-28,0.004740252067421,0.1907598313802803,0.0099993194844462,-0.8083890404188769,0
2017-09-29,0.0035637366816962,0.1124720791404713,0.0099265504566616,-1.0472358272194895,0
2017-10-02,0.0035311024306228,0.1102157906980102,0.0099394488683163,-1.0532943586904129,0
2017-10-03,0.0035408545913405,0.1103128439329266,0.0099927876345706,-1.049821358655766,0
2017-10-04,0.0031536275098187,0.0878147142284691,0.0099408983629313,-1.1232082853209886,0
2017-10-05,0.0031419331170582,0.0808955162602548,0.0099754468959884,-1.136249968204015,0
