,market_volatility,cross_sectional_dispersion,avg_correlation,market_volatility_z,avg_correlation_z,cross_sectional_dispersion_z,regime_score,label
2025-03-21,0.008734653730182378,0.017050863677290383,0.22762366667332531,-0.09360295432271326,-0.3698326305294838,0.7086417468837128,-0.01602291694345917,1
2025-03-24,0.008945066568831497,0.017151315786852243,0.2299212505023921,-0.06770078240246973,-0.35433783610187264,0.7330892416352366,0.006466106295250684,1
2025-03-25,0.008861034928866241,0.01711459813041323,0.22693115171053466,-0.07804521765221101,-0.3745029180074577,0.7241530956747755,-0.006542865093387723,1
2025-03-26,0.008798890302072935,0.01723959072782703,0.22314507531941866,-0.08569532501948948,-0.4000360344167085,0.7545731225172321,-0.011943848331310875,1
2025-03-27,0.008806802800091967,0.017136849810944828,0.22461241913445643,-0.08472128329597399,-0.3901403385639606,0.7295685901365797,-0.0134890251898592,1
2025-03-28,0.009037631007245465,0.017187714592300524,0.23058537743054136,-0.05630594541014327,-0.3498589961590909,0.7419477873545834,0.015278885918117796,1
2025-03-31,0.009199290141303575,0.017053702515282872,0.24106107401448734,-0.03640543596531054,-0.2792114041100988,0.709332648022818,0.0399003903888787,1
2025-04-01,0.009092701307000224,0.016743822908490268,0.24047421630592927,-0.04952669951856627,-0.2831691441661209,0.6339158141334201,0.017069069817564647,1
2025-04-02,0.00912517036211215,0.01668906581508387,0.23953928901916724,-0.04552970459660036,-0.2894742486545286,0.6205893269197575,0.014510738489292768,1
2025-04-03,0.01187835969757916,0.017761690877508337,0.2715460365235736,0.293392501643718,-0.07362228860714724,0.881639051991248,0.30093737463796444,1
2025-04-04,0.01553381707355812,0.01772503005690999,0.4115698766212385,0.7433854108578906,0.8706917293755008,0.8727167384323405,0.8074435719280637,2
2025-04-07,0.015524549864876063,0.01787145628604264,0.40659392580079823,0.7422446019887907,0.8371341572559488,0.9083531674114785,0.8039331816534757,2
2025-04-08,0.01565339604824557,0.018018371304689463,0.4058027790326747,0.7581057823917109,0.8317987016442498,0.944108555356581,0.8174142127604466,2
2025-04-09,0.021906308027963138,0.019032926178685062,0.527122805667254,1.527849692224529,1.6499751045564564,1.1910254699472678,1.497122471468655,2
2025-04-10,0.022533744209882595,0.019423628412173388,0.5271943071446609,1.605088134314845,1.6504573070683621,1.286112480506586,1.5549037553792484,2
2025-04-11,0.02258279319720924,0.0196824681194059,0.5260372258866556,1.6111261465882654,1.6426540069223492,1.3491074978502078,1.568180774940879,2
2025-04-14,0.02268861152155887,0.019365067723698927,0.5355009429233337,1.6241525590791255,1.706476857757772,1.2718602947598712,1.5783913958188684,2
2025-04-15,0.022490560744116185,0.01918114128357592,0.5315782986367352,1.5997721775435059,1.680022734054188,1.227097265897798,1.549312362167569,2
2025-04-16,0.022513448053246,0.01908589287782086,0.5345752649203824,1.6025896435293188,1.7002341299928758,1.2039162206221508,1.5521483048869522,2
2025-04-17,0.022566108858051645,0.01936981099451156,0.5350066641024531,1.6090722765677372,1.703143465251011,1.2730146865272787,1.5700821151646276,2
2025-04-21,0.02262775874358413,0.0191119918818276,0.5424227615602505,1.6166614804593717,1.7531572684950794,1.210268056001793,1.5763315319785682,2
2025-04-22,0.022877737361103892,0.019014792659551104,0.553474471708055,1.647434265850948,1.8276894682117397,1.1866122314818168,1.6093464196853593,2
2025-04-23,0.022862477366004965,0.01898336009329723,0.5521665630434253,1.6455557349633265,1.8188689953166288,1.1789623423767472,1.6042310345520014,2
2025-04-24,0.023046795696358556,0.019035556707980215,0.5514154077981731,1.6682456293230161,1.8138032406045879,1.1916656740347427,1.616596921649833,2
2025-04-25,0.023012567277917353,0.018793256988773602,0.5548981188637708,1.6640320538363012,1.8372904759034723,1.1326960701166542,1.609742383712523,2
2025-04-28,0.022822228856491777,0.018589208970984917,0.5541355093618975,1.6406010762094343,1.832147474237731,1.0830359597844197,1.5865519723329204,2
2025-04-29,0.022748255197409233,0.01857370473144317,0.5507006424752217,1.631494795207633,1.8089828977718234,1.0792626212604557,1.5742947911874547,2
2025-04-30,0.02273977064135998,0.018704287488342023,0.549098734810786,1.6304503321850072,1.7981797098147914,1.1110431510855485,1.5768877092540508,2
2025-05-01,0.022697452130351615,0.01890314896540647,0.544580573720351,1.6252408527892406,1.7677094495346442,1.1594409890007338,1.5748214590551604,2
2025-05-02,0.02284322282360409,0.019529860218270224,0.5409253545262379,1.643185468630174,1.7430588277448642,1.3119666067496787,1.6069037039884821,2
2025-05-05,0.022853428313865238,0.019457336911371487,0.5428422145177166,1.6444417815290053,1.755986038991184,1.2943162739442917,1.607879957250716,2
2025-05-06,0.022756864965204127,0.019472241265114022,0.5401782783042746,1.6325546720053061,1.7380205817689685,1.2979436154852984,1.5972722336304033,2
2025-05-07,0.022787214131201012,0.01952006350665346,0.541439371753926,1.6362907050360578,1.7465253351142653,1.309582335708705,1.6040194201940494,2
2025-05-08,0.022822755851337268,0.01945667660433981,0.5419546568581483,1.6406659501552288,1.7500003929818067,1.2941555719663866,1.6041642073654336,2
2025-05-09,0.022818615207466725,0.019313979598179272,0.5447980484723646,1.6401562299780577,1.7691760887636536,1.259426741239148,1.6027162898659546,2
2025-05-12,0.023181241701108857,0.01983870210203442,0.5345266612999225,1.6847961570920913,1.699906349522829,1.387130885183534,1.6297961604396012,2
2025-05-13,0.023140579148852015,0.020381940704548553,0.5302170751848537,1.679790528984821,1.6708427088076168,1.5193413777427844,1.6450163526832524,2
2025-05-14,0.02316845972226231,0.020508478460822783,0.5305587961595502,1.6832226741445215,1.6731472585644256,1.5501374570474085,1.6535830060510701,2
2025-05-15,0.02324044466103357,0.02078812119645416,0.5313514376403684,1.6920841403539608,1.6784927944463808,1.6181954036795771,1.6732289892468102,2
2025-05-16,0.02176837571533425,0.019525060486813992,0.5624653629332445,1.5108699941319232,1.8883236046000988,1.310798473894164,1.584091773224824,2
2025-05-19,0.018569332668858806,0.01907602802105413,0.4863931865127001,1.1170624512935028,1.3752965191961821,1.2015153647806844,1.211423254361743,2
2025-05-20,0.018487743087236358,0.018777209348761797,0.4876186999252744,1.107018637505079,1.3835613224890535,1.1287904817056775,1.194335811840391,2
2025-05-21,0.01850801160698314,0.01856537276714646,0.49166446112869694,1.1095137261433035,1.410845740736243,1.07723483255296,1.1934575518031165,2
2025-05-22,0.012030728533971736,0.01741202488063437,0.3471816868882734,0.31214935992701603,0.4364608861494025,0.7965392202341228,0.44632078985515333,1
2025-05-23,0.010351699122209764,0.01678239837676303,0.3160265511327434,0.1054580346171188,0.2263521546249769,0.6433041043569837,0.2492954845674492,1
2025-05-27,0.010363215190320582,0.016588648049766813,0.3186870544002177,0.10687568183848957,0.244294460225311,0.5961501906860212,0.2459562171240423,1
2025-05-28,0.010369702624487994,0.01644296030937939,0.3220102876637772,0.10767429582138334,0.2667061849260235,0.5606934911302043,0.2459877016145396,1
2025-05-29,0.010294162255829941,0.01634885610627014,0.32154895700809133,0.09837515025373882,0.2635949932547663,0.5377909157473256,0.23582425625276443,1
2025-05-30,0.009738877868172801,0.016191204739716428,0.3033593083595683,0.03001871456253376,0.14092488087248306,0.4994225731291057,0.15717133616883294,1
2025-06-02,0.009699350283275,0.015623044874314875,0.3043297232775351,0.02515280283305879,0.14746931223257403,0.36114687749648106,0.12904657058559782,1
2025-06-03,0.008948883710505671,0.015580334987846275,0.2743740575982153,-0.06723088588606345,-0.05455025100218056,0.35075237478435767,0.02016995671318564,1
2025-06-04,0.008431773394174438,0.01520343923416189,0.253985230027022,-0.13088802962946022,-0.19205151987382346,0.25902551110514055,-0.07125436855584905,1
2025-06-05,0.00840215189506627,0.014912352339447248,0.26031484180964415,-0.1345344856506852,-0.14936492357315603,0.18818234651842616,-0.07444025059360418,1
2025-06-06,0.008168481843551347,0.014606104766843077,0.26337301411474445,-0.16329965932454474,-0.12874075718050268,0.11364945759689765,-0.09754216529704364,1
2025-06-09,0.008154893171656455,0.014421864366320357,0.2634961096401917,-0.1649724475339003,-0.12791060689930978,0.06881001873947848,-0.1070974020888474,1
2025-06-10,0.008208277652948067,0.014656274517257392,0.2578096120631562,-0.15840072871119926,-0.16626007204377075,0.12585950191840492,-0.10390648558504985,1
